county,,year,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,fips
"Logan",113,2015,243,211,454,"Misdemeanor",168,134,34,203,163,40,371,8075
"Logan",114,2016,249,186,435,"Misdemeanor",166,135,31,172,141,31,338,8075
"Logan",304,2014,153,73,226,"Felony",85,64,21,68,54,14,153,8075
"Logan",305,2015,169,65,234,"Felony",104,79,25,67,54,13,171,8075
"Logan",306,2016,194,82,276,"Felony",95,77,18,72,64,8,167,8075
"Mesa",115,2014,1508,1312,2820,"Misdemeanor",604,466,138,1309,1088,221,1913,8077
"Mesa",116,2015,1686,1317,3003,"Misdemeanor",591,483,108,1314,1053,261,1905,8077
"Mesa",117,2016,1589,1402,2991,"Misdemeanor",451,376,75,1399,1119,280,1850,8077
"Mesa",307,2014,785,721,1506,"Felony",363,277,86,721,585,136,1084,8077
"Mesa",308,2015,755,817,1572,"Felony",288,230,58,824,671,153,1112,8077
"Mesa",309,2016,957,1034,1991,"Felony",314,252,62,1043,849,194,1357,8077
"Mineral",118,2014,40,NA,40,"Misdemeanor",14,13,1,NA,NA,NA,14,8079
"Mineral",119,2015,43,2,45,"Misdemeanor",14,14,NA,1,1,NA,15,8079
"Mineral",120,2016,36,2,38,"Misdemeanor",7,7,NA,2,2,NA,9,8079
"Mineral",310,2014,2,NA,2,"Felony",2,2,NA,NA,NA,NA,2,8079
"Mineral",311,2015,1,3,4,"Felony",NA,NA,NA,2,1,1,2,8079
"Mineral",312,2016,1,NA,1,"Felony",1,1,NA,NA,NA,NA,1,8079
"Moffat",121,2014,246,95,341,"Misdemeanor",177,137,40,92,69,23,269,8081
"Moffat",122,2015,257,115,372,"Misdemeanor",176,142,34,116,89,27,292,8081
"Moffat",123,2016,246,157,403,"Misdemeanor",150,123,27,147,121,26,297,8081
"Moffat",313,2014,134,27,161,"Felony",92,62,30,28,23,5,120,8081
"Moffat",314,2015,164,67,231,"Felony",121,82,39,65,53,12,186,8081
"Moffat",315,2016,160,93,253,"Felony",97,68,29,89,75,14,186,8081
"Montezuma",124,2014,402,466,868,"Misdemeanor",276,250,26,368,308,60,644,8083
"Montezuma",125,2015,413,403,816,"Misdemeanor",269,226,43,298,255,43,567,8083
"Montezuma",126,2016,421,434,855,"Misdemeanor",252,229,23,275,250,25,527,8083
"Montezuma",316,2014,136,67,203,"Felony",86,73,13,67,54,13,153,8083
"Montezuma",317,2015,184,60,244,"Felony",140,121,19,57,49,8,197,8083
"Montezuma",318,2016,217,61,278,"Felony",154,137,17,61,55,6,215,8083
"Montrose",127,2014,700,155,855,"Misdemeanor",522,393,129,180,153,27,702,8085
"Montrose",128,2015,648,130,778,"Misdemeanor",421,328,93,173,137,36,594,8085
"Montrose",129,2016,607,181,788,"Misdemeanor",393,309,84,238,189,49,631,8085
"Montrose",319,2014,282,21,303,"Felony",166,110,56,45,35,10,211,8085
"Montrose",320,2015,276,21,297,"Felony",174,113,61,49,37,12,223,8085
"Montrose",321,2016,267,34,301,"Felony",191,112,79,71,59,12,262,8085
"Morgan",130,2014,755,201,956,"Misdemeanor",336,288,48,176,151,25,512,8087
"Morgan",131,2015,775,238,1013,"Misdemeanor",352,303,49,230,187,43,582,8087
"Morgan",132,2016,693,247,940,"Misdemeanor",319,279,40,231,194,37,550,8087
"Morgan",322,2014,182,53,235,"Felony",113,74,39,52,44,8,165,8087
"Morgan",323,2015,169,81,250,"Felony",98,77,21,78,59,19,176,8087
"Morgan",324,2016,207,90,297,"Felony",108,81,27,89,64,25,197,8087
"Otero",133,2014,479,157,636,"Misdemeanor",369,290,79,161,132,29,530,8089
"Otero",134,2015,376,228,604,"Misdemeanor",312,253,59,191,159,32,503,8089
"Otero",135,2016,210,305,515,"Misdemeanor",180,135,45,241,208,33,421,8089
"Otero",325,2014,139,65,204,"Felony",99,76,23,64,45,19,163,8089
"Otero",326,2015,171,53,224,"Felony",136,88,48,51,35,16,187,8089
"Otero",327,2016,153,65,218,"Felony",109,79,30,64,48,16,173,8089
"Ouray",136,2014,88,19,107,"Misdemeanor",68,60,8,13,10,3,81,8091
"Ouray",137,2015,79,14,93,"Misdemeanor",46,41,5,13,12,1,59,8091
"Ouray",138,2016,99,13,112,"Misdemeanor",60,51,9,13,11,2,73,8091
"Ouray",328,2014,14,2,16,"Felony",8,6,2,2,2,NA,10,8091
"Ouray",329,2015,15,2,17,"Felony",12,9,3,3,2,1,15,8091
"Ouray",330,2016,22,2,24,"Felony",19,15,4,3,2,1,22,8091
"Park",139,2014,313,66,379,"Misdemeanor",232,211,21,73,67,6,305,8093
"Park",140,2015,292,84,376,"Misdemeanor",172,158,14,96,88,8,268,8093
"Park",141,2016,251,105,356,"Misdemeanor",154,139,15,103,92,11,257,8093
"Park",331,2014,53,13,66,"Felony",38,31,7,17,15,2,55,8093
"Park",332,2015,61,17,78,"Felony",52,42,10,19,14,5,71,8093
"Park",333,2016,56,11,67,"Felony",43,40,3,11,9,2,54,8093
"Phillips",142,2014,39,5,44,"Misdemeanor",27,21,6,5,4,1,32,8095
"Phillips",143,2015,41,22,63,"Misdemeanor",27,19,8,21,14,7,48,8095
"Phillips",144,2016,54,21,75,"Misdemeanor",36,30,6,16,15,1,52,8095
"Phillips",334,2014,12,NA,12,"Felony",9,7,2,NA,NA,NA,9,8095
"Phillips",335,2015,18,2,20,"Felony",15,11,4,2,2,NA,17,8095
"Phillips",336,2016,15,7,22,"Felony",12,11,1,7,7,NA,19,8095
"Pitkin",145,2014,164,61,225,"Misdemeanor",117,97,20,62,50,12,179,8097
"Pitkin",146,2015,121,53,174,"Misdemeanor",74,65,9,53,43,10,127,8097
"Pitkin",147,2016,169,41,210,"Misdemeanor",94,80,14,39,32,7,133,8097
"Pitkin",337,2014,38,4,42,"Felony",30,25,5,4,3,1,34,8097
"Pitkin",338,2015,62,13,75,"Felony",51,44,7,13,9,4,64,8097
"Pitkin",339,2016,53,22,75,"Felony",42,32,10,23,20,3,65,8097
"Prowers",148,2014,629,68,697,"Misdemeanor",334,270,64,73,47,26,407,8099
"Prowers",149,2015,662,59,721,"Misdemeanor",325,264,61,62,50,12,387,8099
"Prowers",150,2016,625,34,659,"Misdemeanor",273,223,50,34,29,5,307,8099
"Prowers",340,2014,108,47,155,"Felony",76,63,13,47,36,11,123,8099
"Prowers",341,2015,157,48,205,"Felony",113,81,32,48,39,9,161,8099
"Prowers",342,2016,179,52,231,"Felony",100,86,14,53,47,6,153,8099
"Pueblo",151,2014,2513,835,3348,"Misdemeanor",1496,1340,156,826,729,97,2322,8101
"Pueblo",152,2015,2077,1332,3409,"Misdemeanor",1183,1021,162,1307,1145,162,2490,8101
"Pueblo",153,2016,1906,1576,3482,"Misdemeanor",827,719,108,1506,1319,187,2333,8101
"Pueblo",343,2014,1364,481,1845,"Felony",588,453,135,481,420,61,1069,8101
"Pueblo",344,2015,1388,787,2175,"Felony",637,502,135,790,688,102,1427,8101
"Pueblo",345,2016,1607,657,2264,"Felony",644,541,103,651,586,65,1295,8101
"Rio Blanco",154,2014,193,12,205,"Misdemeanor",150,140,10,10,10,NA,160,8103
"Rio Blanco",155,2015,194,14,208,"Misdemeanor",138,111,27,15,15,NA,153,8103
"Rio Blanco",156,2016,129,24,153,"Misdemeanor",84,71,13,20,17,3,104,8103
"Rio Blanco",346,2014,47,5,52,"Felony",35,26,9,9,6,3,44,8103
"Rio Blanco",347,2015,33,10,43,"Felony",26,22,4,9,7,2,35,8103
"Rio Blanco",348,2016,55,13,68,"Felony",44,34,10,11,10,1,55,8103
"Rio Grande",157,2014,231,97,328,"Misdemeanor",97,67,30,104,79,25,201,8105
"Rio Grande",158,2015,229,94,323,"Misdemeanor",104,82,22,87,70,17,191,8105
"Rio Grande",159,2016,202,87,289,"Misdemeanor",103,77,26,84,69,15,187,8105
"Rio Grande",349,2014,100,61,161,"Felony",62,43,19,67,50,17,129,8105
"Rio Grande",350,2015,73,63,136,"Felony",52,33,19,60,49,11,112,8105
"Rio Grande",351,2016,115,50,165,"Felony",76,45,31,53,38,15,129,8105
"Routt",160,2014,385,166,551,"Misdemeanor",296,270,26,161,143,18,457,8107
