year,medianHI,IncarcerationRate,total_pop
2002,142,5.276076099453866e-3,890624
2002,143,6.473876258530157e-3,348323
2002,137,7.51318175453182e-3,1135471
2002,167,1.132680587588304e-3,2561181
2002,160,1.875979954994407e-3,5132251
2002,156,2.4412690992896046e-3,4325619
2002,160,2.963149820840196e-3,5660868
2002,158,3.6129910367728277e-3,4093838
2002,153,4.381862507559793e-3,1064844
2002,152,5.847953216374269e-3,4788
2002,204,1.2055053224575216e-3,9734507
2002,184,1.8646551991595938e-3,6672011
2002,194,2.47994018771445e-3,1498020
2002,190,2.9340152826056996e-3,326515
2002,199,3.834744083707158e-3,1981097
2002,181,4.1820049944543865e-3,1469630
2002,200,4.8071892407595485e-3,162465
2002,181,5.144703325146161e-3,219449
2002,187,5.83386277635927e-3,250263
2002,266,8.616109252265318e-4,208911
2003,85,1.2572117590837308e-3,1263908
2003,82,1.991376490758527e-3,1036469
2003,82,2.549089502544539e-3,1318510
2003,82,3.065804447942481e-3,1504336
2003,84,3.6693440524551814e-3,2366363
2003,83,4.322002231553752e-3,1530772
2003,82,4.8001730257391925e-3,1239122
2003,81,5.323747946111477e-3,1161212
2003,83,6.119139348052228e-3,2779149
2003,82,1.029138671041425e-2,6919087
2003,86,0.23234200743494424,538
2003,96,1.2820004820916172e-3,1211388
2003,97,1.9617365434421393e-3,2188877
2003,97,2.5516173297798084e-3,2017152
2003,96,3.0429296114171727e-3,2933686
2003,94,3.7377287888718637e-3,4557313
2003,97,4.248515204950398e-3,2310925
2003,97,4.86912436640468e-3,976767
2003,95,5.322190187706044e-3,1479654
2003,97,6.035121267687247e-3,3945074
2003,97,8.995976476972476e-3,3445985
2003,105,1.326148582769784e-3,1441015
2003,106,1.9469522027667748e-3,1578878
2003,105,2.4904182682441165e-3,1262037
2003,106,3.0814862799580975e-3,1568399
2003,106,3.6214874378891716e-3,1229053
2003,106,4.293261140852815e-3,2658818
2003,104,4.901235128218941e-3,2357569
2003,105,5.344974775160316e-3,453323
2003,107,6.028521320322273e-3,2943342
2003,105,8.22610291116966e-3,7657575
2003,110,1.1655666472722979e-3,1050133
2003,112,1.9505840924953317e-3,600333
2003,112,2.587167091980248e-3,4506087
2003,112,3.065185511774798e-3,1564995
2003,110,3.7643390911060934e-3,858318
2003,112,4.220387362609745e-3,1691077
2003,112,4.841663846607382e-3,1433185
2003,112,5.403739296390752e-3,1184180
2003,112,6.28299270304477e-3,3468570
2003,111,7.323580723311383e-3,3397928
2003,116,1.3916370205810465e-3,395218
2003,116,1.9801354672022396e-3,601474
2003,115,2.4697307391121017e-3,398424
2003,116,3.0819508696945186e-3,1536689
2003,116,3.6696870582805722e-3,1070391
2003,115,4.330585360441954e-3,1018569
2003,117,4.65875359622528e-3,8667769
2003,115,5.511209359659456e-3,11131858
2003,116,6.0915637897559e-3,1098076
2003,117,6.9640202567249985e-3,162119
2003,121,1.136393843536511e-3,300952
2003,121,2.0605199145757335e-3,572671
2003,120,2.557913482872679e-3,2420723
2003,121,3.1181906014883035e-3,778336
2003,121,3.5194311501445604e-3,1588609
2003,120,4.005032008772758e-3,2255163
2003,121,4.803235845377645e-3,8972493
2003,120,5.394095226964307e-3,1848132
2003,119,6.030248158562378e-3,4075620
2003,119,7.80152776350495e-3,350316
2003,127,1.2245630889847017e-3,1542591
2003,128,1.979452968645764e-3,1873750
2003,127,2.590158056120529e-3,1522687
2003,129,3.0981044416608875e-3,2425354
2003,126,3.6703137505833855e-3,2841174
2003,125,4.298771345168588e-3,2597719
2003,128,4.802395209580838e-3,918500
2003,126,5.3185747054266316e-3,4937225
2003,128,5.813791350292661e-3,3729236
2003,128,7.417382512468801e-3,1150271
2003,135,1.3718948819241145e-3,1409729
2003,142,2.1017122834285557e-3,2908105
2003,140,2.4833194128774097e-3,5634394
2003,137,3.0165290371277865e-3,2594041
2003,139,3.6526391871584346e-3,3846260
2003,135,4.29707974599246e-3,4851667
2003,137,4.886473468223663e-3,315565
2003,139,5.215926604740284e-3,768224
2003,138,6.479368327168752e-3,38121
2003,137,7.463324755692728e-3,643145
2003,163,1.2190188310548292e-3,2620140
2003,153,1.9947313451805703e-3,6333685
2003,157,2.4888999062414414e-3,2501105
2003,154,3.075353800997131e-3,7205675
2003,150,3.7579590736985407e-3,1410340
2003,155,4.20370504203705e-3,1743462
2003,162,4.759364754244099e-3,703035
2003,168,5.1489314583102646e-3,18062
2003,149,6.229791840857575e-3,206909
2003,146,7.745446933221687e-3,4777
2003,195,1.2976970522498017e-3,11517326
2003,180,1.8862481055680201e-3,5559714
2003,188,2.4365696996115336e-3,1559980
