County,year,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,Crimes,Offenses,EstPopulation
"Mesa",2015,116,1686,1317,3003,"Misdemeanor",591,483,108,1314,1053,261,1905,10363,10140,149249
"Mesa",2015,308,755,817,1572,"Felony",288,230,58,824,671,153,1112,10363,10140,149249
"Mesa",2016,117,1589,1402,2991,"Misdemeanor",451,376,75,1399,1119,280,1850,10562,10370,149249
"Mesa",2016,309,957,1034,1991,"Felony",314,252,62,1043,849,194,1357,10562,10370,149249
"Mineral",2014,118,40,NA,40,"Misdemeanor",14,13,1,NA,NA,NA,14,5,5,729
"Mineral",2014,310,2,NA,2,"Felony",2,2,NA,NA,NA,NA,2,5,5,729
"Mineral",2015,119,43,2,45,"Misdemeanor",14,14,NA,1,1,NA,15,3,3,700
"Mineral",2015,311,1,3,4,"Felony",NA,NA,NA,2,1,1,2,3,3,700
"Mineral",2016,120,36,2,38,"Misdemeanor",7,7,NA,2,2,NA,9,0,0,700
"Mineral",2016,312,1,NA,1,"Felony",1,1,NA,NA,NA,NA,1,0,0,700
"Moffat",2014,121,246,95,341,"Misdemeanor",177,137,40,92,69,23,269,603,591,13009
"Moffat",2014,313,134,27,161,"Felony",92,62,30,28,23,5,120,603,591,13009
"Moffat",2015,122,257,115,372,"Misdemeanor",176,142,34,116,89,27,292,820,802,12766
"Moffat",2015,314,164,67,231,"Felony",121,82,39,65,53,12,186,820,802,12766
"Moffat",2016,123,246,157,403,"Misdemeanor",150,123,27,147,121,26,297,938,907,12766
"Moffat",2016,315,160,93,253,"Felony",97,68,29,89,75,14,186,938,907,12766
"Montezuma",2014,124,402,466,868,"Misdemeanor",276,250,26,368,308,60,644,999,960,25815
"Montezuma",2014,316,136,67,203,"Felony",86,73,13,67,54,13,153,999,960,25815
"Montezuma",2015,125,413,403,816,"Misdemeanor",269,226,43,298,255,43,567,927,904,25926
"Montezuma",2015,317,184,60,244,"Felony",140,121,19,57,49,8,197,927,904,25926
"Montezuma",2016,126,421,434,855,"Misdemeanor",252,229,23,275,250,25,527,897,883,25926
"Montezuma",2016,318,217,61,278,"Felony",154,137,17,61,55,6,215,897,883,25926
"Montrose",2014,127,700,155,855,"Misdemeanor",522,393,129,180,153,27,702,2168,2091,40826
"Montrose",2014,319,282,21,303,"Felony",166,110,56,45,35,10,211,2168,2091,40826
"Montrose",2015,128,648,130,778,"Misdemeanor",421,328,93,173,137,36,594,2184,2099,40948
"Montrose",2015,320,276,21,297,"Felony",174,113,61,49,37,12,223,2184,2099,40948
"Montrose",2016,129,607,181,788,"Misdemeanor",393,309,84,238,189,49,631,2279,2213,40948
"Montrose",2016,321,267,34,301,"Felony",191,112,79,71,59,12,262,2279,2213,40948
"Morgan",2014,130,755,201,956,"Misdemeanor",336,288,48,176,151,25,512,1135,1107,28630
"Morgan",2014,322,182,53,235,"Felony",113,74,39,52,44,8,165,1135,1107,28630
