urbanicity,year,medianHI,IncarcerationRate,total_pop
"suburban",1989,82,0.2784400917971701,2237106
"suburban",1989,67,0.2311381375540406,838027
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,0,NaN,0
"suburban",1995,118,0.25698758757064427,53006062
"suburban",1997,138,0.22329225744339248,5516537
"suburban",1997,50,0.5992245329573492,17022
"suburban",1997,127,0.18956851520016516,10811922
"suburban",1997,146,0.14561751573049114,4842824
"suburban",1997,166,0.11496823625824014,2356303
"suburban",1997,102,0.30923996948735105,7682060
"suburban",1997,80,0.3101598345391583,2523860
"suburban",1997,115,0.21922255440156274,5481644
"suburban",1997,89,0.42078470586819333,7976288
"suburban",1997,68,0.3268612747723621,1493600
"suburban",1998,0,NaN,0
"suburban",1998,0,NaN,0
"suburban",1998,0,NaN,0
"suburban",1998,0,NaN,0
"suburban",1998,0,NaN,0
"suburban",1998,0,NaN,0
"suburban",1998,0,NaN,0
"suburban",1998,0,NaN,0
"suburban",1998,134,0.1959504388470831,28717976
"suburban",1998,93,0.3738457863990873,21905824
"suburban",1999,102,0.3515690622265838,5262124
"suburban",1999,126,0.20166085321718347,7555755
"suburban",1999,64,0.40507207567380005,397707
"suburban",1999,75,0.3872433892866418,1775111
"suburban",1999,93,0.3958715887185768,6324273
"suburban",1999,135,0.19942733388198558,6054837
"suburban",1999,84,0.43595875491797015,4698839
"suburban",1999,145,0.2101105771827367,8183786
"suburban",1999,112,0.2521236197371293,7086603
"suburban",1999,172,0.11476811541842794,2491110
"suburban",2000,69,0.413739459448191,1535024
"suburban",2000,104,0.34238276731684475,6920617
"suburban",2000,132,0.21622614889412467,16054025
"suburban",2000,96,0.34869876823899815,3420144
"suburban",2000,114,0.25219312125776927,6319760
"suburban",2000,89,0.41602800647857524,4236734
"suburban",2000,78,0.3732810635341136,1467259
"suburban",2000,81,0.3647642512651554,1632013
"suburban",2000,154,0.15332682142881304,6799854
"suburban",2000,86,0.5632519301953497,2021298
"suburban",2001,125,0.23457179101006084,6668321
"suburban",2001,92,0.4200785434986121,9893626
"suburban",2001,147,0.1768825451877543,5997200
"suburban",2001,69,0.4240707579639166,1618362
"suburban",2001,81,0.38139266625055135,3353237
"suburban",2001,135,0.21732412386154334,10070212
"suburban",2001,108,0.3117789396811262,11535096
"suburban",2001,179,0.15561767212740682,1192024
"suburban",2001,161,0.1268819864574434,1729954
"suburban",2001,200,8.029148859403505e-2,196783
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,0,NaN,0
"suburban",2002,118,0.2899861090308265,57410681
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,0,NaN,0
"suburban",2003,116,0.29370322382996505,59199214
"suburban",2004,81,0.39110236940129534,4836074
"suburban",2004,90,0.44340455719437816,9875857
"suburban",2004,69,0.5803264065402552,1154695
"suburban",2004,122,0.21454034147405365,3764327
"suburban",2004,162,0.14098891191486118,3659153
"suburban",2004,143,0.1885798420840964,5326126
"suburban",2004,112,0.28188173045754206,5812012
"suburban",2004,131,0.2092233182189643,13903326
"suburban",2004,103,0.3546268194096668,11253238
"suburban",2004,187,0.10478116278681128,598390
"suburban",2005,124,0.288396924331684,9901978
"suburban",2005,95,0.43571351915026874,13622942
"suburban",2005,106,0.3511360593480545,9702222
"suburban",2005,83,0.412432519007735,5307050
"suburban",2005,139,0.18918379936205296,12470941
"suburban",2005,157,0.16659372171218476,6159896
"suburban",2005,115,0.29166361891986015,2173737
"suburban",2005,187,0.14880878107283502,1402471
"suburban",2005,71,0.5351864810220057,1576273
"suburban",2005,176,0.12519425125467204,824319
"suburban",2006,81,0.4438790105130015,8141633
"suburban",2006,160,0.19111792970862407,1679068
"suburban",2006,144,0.19373091542373694,8192807
"suburban",2006,184,0.1351254659254756,1942639
"suburban",2006,152,0.20383435776400652,1267696
"suburban",2006,136,0.18763731038390485,7523557
"suburban",2006,98,0.4128547805880865,17056845
"suburban",2006,110,0.3768783503397098,9455571
"suburban",2006,123,0.27792456614117816,8441859
"suburban",2006,167,0.10370330098075677,1728971
"suburban",2007,137,0.1835985627587562,13579627
"suburban",2007,79,0.5290075562653686,2754403
"suburban",2007,119,0.3144553035385354,11607373
"suburban",2007,85,0.3831368262567459,3415229
"suburban",2007,61,0.6201064195682522,296562
"suburban",2007,104,0.39302124008812117,13245849
"suburban",2007,183,0.13167301297193862,2794802
"suburban",2007,71,0.49175951151314373,696682
"suburban",2007,95,0.4289244266781257,10783951
"suburban",2007,155,0.20090674149340443,7083386
"suburban",2008,0,NaN,0
"suburban",2008,0,NaN,0
"suburban",2008,0,NaN,0
"suburban",2008,0,NaN,0
"suburban",2008,0,NaN,0
"suburban",2008,173,0.13257255254904313,5271076
"suburban",2008,133,0.2061206344765197,12809489
"suburban",2008,91,0.4392949407475393,24705725
"suburban",2008,113,0.3301978622106784,16529786
"suburban",2008,147,0.1982446858556932,8460252
"suburban",2009,0,NaN,0
"suburban",2009,0,NaN,0
"suburban",2009,0,NaN,0
"suburban",2009,94,0.4147055183719078,16015702
"suburban",2009,152,0.17764296351975753,7960912
"suburban",2009,78,0.4841558584753979,4643546
"suburban",2009,108,0.35758129359949264,10312620
"suburban",2009,175,0.12219937807128341,3796255
"suburban",2009,123,0.2983010665973796,11311391
"suburban",2009,139,0.19455450431578974,10342603
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,0,NaN,0
"suburban",2010,118,0.29946530836359514,68224931
"suburban",2011,154,0.17805038370616427,3953937
"suburban",2011,147,0.15355369659083756,4512428
"suburban",2011,116,0.3082688535725829,10405203
"suburban",2011,129,0.22352197209531735,7071788
"suburban",2011,92,0.40195118262341495,14810505
"suburban",2011,138,0.16313225704052706,8155959
"suburban",2011,170,0.1411818413662795,4258338
"suburban",2011,79,0.49903419333925736,3911756
