state,year,medianHI,IncarcerationRate,total_pop
"CA",2014,66280,2.7131486236440516e-3,4193283
"CA",2014,77542,2.038738324325993e-3,7839162
"CA",2014,41114,4.244200463418421e-3,1359031
"CA",2014,97914,1.996433501751306e-3,2880136
"CA",2014,61984,2.668715491050673e-3,711953
"CA",2014,54766,4.448390912896927e-3,15207971
"CA",2014,70595,2.1797534795208896e-3,321596
"CO",1989,0,NaN,0
"CO",1989,0,NaN,0
"CO",1989,0,NaN,0
"CO",1989,0,NaN,0
"CO",1989,36418,1.6856050484376738e-3,692333
"CO",1989,20110,2.0146373492625274e-3,312215
"CO",1989,40335,1.6367057947557313e-3,440519
"CO",1989,28198,2.362251225417823e-3,440258
"CO",1989,24817,3.314904890284523e-3,812693
"CO",1989,29965,1.9639947114349844e-3,520368
"CO",1995,0,NaN,0
"CO",1995,0,NaN,0
"CO",1995,0,NaN,0
"CO",1995,0,NaN,0
"CO",1995,54320,5.546696249046661e-4,14423
"CO",1995,30443,4.034244862486557e-3,1211627
"CO",1995,80923,7.946084346213838e-4,101937
"CO",1995,46381,2.03696690022226e-3,802664
"CO",1995,38949,2.6360099968936205e-3,1133152
"CO",1995,49373,2.511168511783329e-3,500962
"CO",1997,0,NaN,0
"CO",1997,0,NaN,0
"CO",1997,0,NaN,0
"CO",1997,0,NaN,0
"CO",1997,54127,2.781410330066772e-3,548283
"CO",1997,28436,3.1528505979889925e-3,399004
"CO",1997,77513,7.815792498371709e-4,130505
"CO",1997,42154,2.9351935744237525e-3,1193107
"CO",1997,35124,5.2928798189824395e-3,934274
"CO",1997,50539,2.3868477705729857e-3,773405
"CO",1998,0,NaN,0
"CO",1998,0,NaN,0
"CO",1998,44360,3.1379256272209477e-3,1167013
"CO",1998,51578,1.7172295363480253e-3,38434
"CO",1998,55869,3.034809793928823e-3,513706
"CO",1998,30724,3.2234745039019896e-3,473092
"CO",1998,84645,7.046878848416847e-4,146164
"CO",1998,48368,1.7584672027549319e-3,54593
"CO",1998,38204,5.602404693335252e-3,889261
"CO",1998,53294,2.5424753259008824e-3,769329
"CO",1999,0,NaN,0
"CO",1999,0,NaN,0
"CO",1999,0,NaN,0
"CO",1999,0,NaN,0
"CO",1999,59441,1.579778830963665e-3,74694
"CO",1999,31656,3.740182838827159e-3,457999
"CO",1999,87335,6.815418810555917e-4,162866
"CO",1999,46204,3.326037580012389e-3,1210750
"CO",1999,38808,5.9170442118419e-3,921744
"CO",1999,55237,2.8670497841705184e-3,1342495
"CO",2000,0,NaN,0
"CO",2000,0,NaN,0
"CO",2000,0,NaN,0
"CO",2000,0,NaN,0
"CO",2000,60041,2.75763351142097e-3,874663
"CO",2000,33047,3.863925159252173e-3,482411
"CO",2000,91210,7.828071129962637e-4,180121
"CO",2000,48933,3.6310496437174673e-3,1187260
"CO",2000,41159,6.231289313464967e-3,951328
"CO",2000,55234,3.0802929700869328e-3,584360
"CO",2001,34226,4.548805606013392e-3,526292
"CO",2001,54145,2.087163941758187e-3,40246
"CO",2001,48233,3.731605998732662e-3,1221458
"CO",2001,55864,3.419464765835053e-3,511776
"CO",2001,60707,3.217744454857857e-3,608190
"CO",2001,28131,4.4688241274144355e-3,94432
"CO",2001,93316,8.029148859403505e-4,196783
"CO",2001,52510,1.5571179162931156e-3,21193
"CO",2001,41208,6.235907341936987e-3,832437
"CO",2001,57049,1.710148091547502e-3,302313
"CO",2002,34706,4.870443212206279e-3,533627
"CO",2002,55186,3.676342945317774e-3,518450
"CO",2002,48292,3.958430864537975e-3,1247464
"CO",2002,55810,1.7461748751198705e-3,279468
"CO",2002,66648,1.1993726358520158e-3,21678
"CO",2002,27933,4.182296777980574e-3,109031
"CO",2002,93927,8.616109252265318e-4,208911
"CO",2002,53071,2.1583719708562683e-3,87566
"CO",2002,41065,6.6089265409198855e-3,824037
"CO",2002,59910,3.630938594220472e-3,587176
"CO",2003,0,NaN,0
"CO",2003,0,NaN,0
"CO",2003,48947,4.491345097434999e-3,993021
"CO",2003,55907,3.813584068212346e-3,513690
"CO",2003,66647,1.0534029495282587e-3,21834
"CO",2003,33105,4.4368318519162325e-3,471733
"CO",2003,93013,9.484824281150159e-4,220352
"CO",2003,50747,2.9420656604111613e-3,357232
"CO",2003,41420,6.635601780948121e-3,1012719
"CO",2003,58266,3.083627802803548e-3,873322
"CO",2004,35092,4.507557528679303e-3,396889
"CO",2004,52969,2.9024796310756855e-3,67873
"CO",2004,45914,3.8844990323684964e-3,286266
"CO",2004,55573,3.9045938685471912e-3,540133
"CO",2004,69631,1.1830550120580606e-3,21977
