year,state,CrimeRate,ImprisonedPerCrimeRate
2002,"NC",6.907683249286972e-2,2.954587046005779e-2
2002,"ND",3.606676602697069e-2,5.545299630786708e-2
2002,"NE",6.58015339925384e-2,2.9733337119813706e-2
2002,"NH",2.4101478442334245e-2,5.309819793774694e-2
2002,"NJ",4.5987358185623356e-2,5.960529295922794e-2
2002,"NV",6.723043067357626e-2,4.545731955407275e-2
2002,"NY",4.228599411697862e-2,4.728602082174362e-2
2002,"OH",5.630192878929687e-2,5.140204560365131e-2
2002,"OK",7.264011333572354e-2,4.975891186489469e-2
2002,"OR",7.294748940748581e-2,2.6576487433500575e-2
2002,"PA",4.0484931890771084e-2,4.221463276801454e-2
2002,"SC",7.987969839818873e-2,4.563824141731641e-2
2002,"SD",3.489185647290726e-2,0.11242860690340203
2002,"TN",7.514604089273176e-2,4.508936338608599e-2
2002,"TX",8.032213011019962e-2,5.493177952405816e-2
2002,"UT",6.837775776139618e-2,2.9517896983218547e-2
2002,"VA",4.547566524738363e-2,5.5001217918908746e-2
2002,"WA",7.402202472230061e-2,2.4709450045078272e-2
2002,"WI",4.847997905324189e-2,5.028286246560358e-2
2002,"WV",3.5622813120771195e-2,4.0667091265067346e-2
2002,"WY",5.5232954963090525e-2,3.384030418250951e-2
2003,"AK",5.003310233252818e-2,0.8058980264643454
2003,"AL",6.403208422108034e-2,5.059188275084555e-2
2003,"AR",5.254946055903125e-2,8.751814223512337e-2
2003,"AZ",9.502592189702272e-2,4.3818204255769266e-2
2003,"CA",6.059163326187007e-2,8.026164891553961e-2
2003,"CO",5.937810731122829e-2,4.1818926581077734e-2
2003,"FL",8.074270097137877e-2,3.50225071228291e-2
2003,"GA",6.782151590032036e-2,4.082763531692004e-2
2003,"HI",8.323650878101269e-2,2.798956661316212e-2
2003,"IA",5.030286929361545e-2,5.527500736439002e-2
2003,"IL",2.7342842509952486e-2,0.1535754307325956
2003,"IN",5.048999068477246e-2,7.192718280790714e-2
2003,"KY",2.763792214932362e-2,0.1444317600283431
2003,"LA",7.014670100146098e-2,6.70438860211394e-2
2003,"MA",2.4760692169685745e-2,1.9727000747943157e-2
2003,"MD",6.713055641293875e-2,3.8692461641094064e-2
2003,"MI",5.7397620548277656e-2,3.321181712463905e-2
2003,"MN",4.927450035925521e-2,3.0844009179119312e-2
2003,"MO",6.98723894405086e-2,7.351875253784472e-2
2003,"MS",4.9119424641711255e-2,9.54962333897337e-2
2003,"NC",6.9351690904276e-2,2.8956181084669855e-2
2003,"ND",3.3122327219788646e-2,7.456243622949534e-2
2003,"NE",6.365678967189069e-2,3.088446542171147e-2
2003,"NH",2.379121137338195e-2,5.400847947581422e-2
2003,"NJ",4.424557755257121e-2,5.7163665725945306e-2
2003,"NV",7.296873967351794e-2,4.213424630238477e-2
2003,"NY",4.0330646330566794e-2,4.8773286711667384e-2
2003,"OH",5.401669743354262e-2,5.544904989606517e-2
2003,"OK",7.358727645889698e-2,4.780490098689818e-2
2003,"OR",7.513762321542486e-2,2.5910926657295223e-2
2003,"PA",4.0167937289202635e-2,4.446437015974009e-2
2003,"SC",7.940877116455836e-2,4.6154817527465586e-2
2003,"SD",3.46282074965473e-2,0.12434904102629239
2003,"TN",7.57830612225709e-2,4.5111899508406716e-2
2003,"TX",7.70910304609237e-2,6.418565288078217e-2
2003,"UT",6.769704357869788e-2,3.170115031266888e-2
2003,"VA",4.3297857703542816e-2,5.846562182863493e-2
2003,"WA",7.550391638009006e-2,2.4298750222719982e-2
2003,"WI",4.6583588764107356e-2,5.2476550832600395e-2
2003,"WV",3.780369266290021e-2,4.6951770330711434e-2
2003,"WY",3.209366391184573e-2,3.0042918454935622e-2
2004,"AK",4.4757211363078614e-2,0.7933708753210827
2004,"AL",6.472160575628397e-2,5.041166010545899e-2
2004,"AR",6.420848199368051e-2,6.749911242347359e-2
2004,"AZ",9.028031943813841e-2,4.457024877957756e-2
2004,"CA",6.0002851011132466e-2,8.111698243378766e-2
2004,"CO",6.055477050763782e-2,4.398120064774424e-2
2004,"FL",7.567038038828737e-2,3.7689825738741675e-2
2004,"GA",6.601640627022495e-2,4.7666996404925326e-2
2004,"HI",7.503945199714776e-2,2.6731470230862697e-2
2004,"IA",4.904104560351477e-2,5.2928195919780194e-2
2004,"IL",2.6056489673936967e-2,0.1752155093691785
2004,"IN",5.173383376474804e-2,7.013904750362418e-2
2004,"KY",3.750700804924513e-2,0.11867605982897834
2004,"LA",7.163905837034218e-2,7.115703463500875e-2
2004,"MA",2.5141634055969433e-2,1.976647972786614e-2
2004,"MD",6.454981573960726e-2,4.077336003677195e-2
2004,"MI",5.377916247724042e-2,3.637287824876882e-2
2004,"MN",4.987288646189386e-2,3.07382241839579e-2
2004,"MO",6.706793799312039e-2,7.955749319659573e-2
2004,"MS",4.528434668533116e-2,9.721283783783784e-2
2004,"NC",6.61428600389407e-2,3.326408772623797e-2
2004,"ND",3.0795435277433808e-2,7.900225244014349e-2
2004,"NE",5.967549436832539e-2,3.325637222672436e-2
2004,"NH",2.509006078110866e-2,5.1278575946507636e-2
2004,"NJ",4.224540519668906e-2,5.878453766566346e-2
2004,"NV",7.15549239585448e-2,4.567751743399828e-2
2004,"NY",3.9110345402868035e-2,4.737584214257706e-2
2004,"OH",5.5519045957439075e-2,5.661966551121171e-2
2004,"OK",7.232041329884013e-2,5.241647629925757e-2
2004,"OR",7.341370534678741e-2,2.766818526096836e-2
2004,"PA",4.0623129761254026e-2,4.5344373353406096e-2
2004,"RI",4.726949956865335e-2,0.11225685493320835
2004,"SC",7.891383653200383e-2,4.382404367684842e-2
2004,"SD",3.303353534313789e-2,0.14703972994027525
2004,"TN",7.465075852001628e-2,4.722214750658992e-2
2004,"TX",8.166787534760446e-2,7.371016788899394e-2
2004,"UT",6.52341667008491e-2,3.198993928199485e-2
2004,"VA",4.255019534000371e-2,5.906572599708986e-2
2004,"WA",7.617312264966304e-2,2.5805107539419718e-2
2004,"WI",4.2853576197040916e-2,6.0679365722680983e-2
2004,"WV",3.9319349739750396e-2,5.5802022665629405e-2
2004,"WY",3.824389197307373e-2,3.0154277699859747e-2
2005,"AK",4.682272066160981e-2,0.5532339694479268
2005,"AL",5.2763080926386915e-2,6.562430087747645e-2
2005,"AR",6.808656694847894e-2,6.204523344348232e-2
2005,"AZ",8.107756814297973e-2,5.029649997247133e-2
2005,"CA",5.7832962508418725e-2,8.732645641027471e-2
2005,"CO",6.309700516376941e-2,4.7311923833301135e-2
2005,"FL",7.224006348458453e-2,4.0320062172065005e-2
2005,"GA",6.61422329966542e-2,4.502914262905933e-2
2005,"HI",6.456119904285802e-2,3.0240574251092712e-2
2005,"IA",4.829056985855931e-2,5.532414134564672e-2
2005,"IL",2.4635802873816077e-2,0.18392295314263757
2005,"IN",5.1977155177872165e-2,7.664372825102625e-2
2005,"KY",3.8014096709788135e-2,0.12441670935593536
2005,"LA",6.35177000369836e-2,7.37097840627771e-2
2005,"MA",2.9614503475341992e-2,2.6084215503427988e-2
2005,"MD",6.287289367981604e-2,3.99990010655301e-2
2005,"ME",3.7298202232568044e-2,2.2918318794607453e-2
2005,"MI",5.4856431051026965e-2,3.548138374410182e-2
2005,"MN",5.061284030805914e-2,3.146661749707575e-2
2005,"MO",6.75120997621099e-2,7.914394461270845e-2
2005,"MS",4.8819266565494575e-2,8.447126071768815e-2
2005,"NC",6.584238521688886e-2,3.200064068449905e-2
2005,"ND",3.1743121135254626e-2,7.942875481386392e-2
2005,"NE",5.6691833026931544e-2,3.9494997617913294e-2
2005,"NH",2.7865391278217744e-2,4.3296314179945276e-2
2005,"NJ",4.061040402640157e-2,5.961319100396684e-2
2005,"NV",7.180610418166605e-2,4.5695510051996e-2
2005,"NY",3.7854752897702376e-2,4.829471837092809e-2
2005,"OH",5.477409215770128e-2,5.981645048186538e-2
2005,"OK",6.932882935511299e-2,5.303556821187165e-2
2005,"OR",7.007584388796306e-2,2.8415582285081526e-2
2005,"PA",4.104055300087303e-2,4.8855792605385966e-2
2005,"RI",4.433791446100689e-2,0.12853976084173718
2005,"SC",7.578406297937869e-2,4.414165199698224e-2
2005,"SD",3.0066262194663972e-2,0.17562972729165222
2005,"TN",7.456745320235923e-2,4.9527519343835855e-2
2005,"TX",7.317493318115577e-2,7.345997643225077e-2
2005,"UT",6.398264187365214e-2,3.515905050921697e-2
2005,"VA",4.2446583257961114e-2,5.6462804803137784e-2
2005,"WA",7.687580198554737e-2,2.515850921064988e-2
2005,"WI",4.2779080145369484e-2,6.079871341428939e-2
2005,"WV",3.32497098920548e-2,6.559538007658025e-2
2005,"WY",2.713025154747794e-2,3.398058252427184e-2
2006,"AK",4.746132138896145e-2,0.5468940316686967
2006,"AL",5.061762280282332e-2,8.068492450757479e-2
2006,"AR",6.751261614433303e-2,6.709708465332638e-2
2006,"AZ",7.45778443729466e-2,6.1091934067280786e-2
2006,"CA",5.578469014184735e-2,9.507937508151461e-2
2006,"CO",5.5164202584170804e-2,5.632632113310908e-2
2006,"FL",7.172513673913973e-2,4.240337002182535e-2
2006,"GA",6.31877076475713e-2,5.436089255119111e-2
2006,"HI",6.352591676948861e-2,2.467820683533067e-2
2006,"IA",4.829802305228602e-2,4.034823919107392e-2
2006,"IL",2.4374289279384908e-2,0.17636890391115403
2006,"IN",5.187506821087809e-2,8.225098347039549e-2
2006,"KY",3.814187628550903e-2,0.13090369879162983
2006,"LA",6.349281779294776e-2,7.403651115618662e-2
2006,"MA",2.5278813815602576e-2,2.021025919883995e-2
2006,"MD",6.119056838604365e-2,4.176391106743643e-2
2006,"MI",5.678464421118298e-2,3.739563233257318e-2
2006,"MN",4.969327334146956e-2,3.252670819012393e-2
2006,"MO",6.631905233507826e-2,7.824306083502708e-2
2006,"MS",4.307893910018162e-2,0.10842301876723294
2006,"NC",6.688775237426657e-2,3.203961821544266e-2
2006,"ND",3.199332105879108e-2,7.960546753650202e-2
2006,"NE",5.555520844025724e-2,3.960411947108819e-2
2006,"NJ",3.959677738457542e-2,5.8458570665137315e-2
2006,"NV",7.085339725752149e-2,4.890233547397838e-2
2006,"NY",3.695295037902654e-2,5.2898972028248906e-2
